"","error_2_df","participant","group"
"1","30","X8","English monolingual"
"2","17","X9","English monolingual"
"3","26","X10","English monolingual"
"4","24","X11","English monolingual"
"5","24","X13","English monolingual"
"6","23","X14","English monolingual"
"7","19","X15","English monolingual"
"8","28","X16","English monolingual"
"9","34","X19","English monolingual"
"10","28","X25","English monolingual"
"11","15","X29","English monolingual"
"12","23","X31","English monolingual"
"13","22","X33","English monolingual"
"14","20","X35","English monolingual"
"15","23","X36","English monolingual"
"16","24","X41","English monolingual"
"17","20","X44","English monolingual"
"18","25","X46","English monolingual"
"19","19","X48","English monolingual"
"20","22","X49","English monolingual"
"21","20","X51","English monolingual"
"22","21","X52","English monolingual"
"23","22","X55","English monolingual"
"24","20","X56","English monolingual"
"25","22","X59","English monolingual"
"26","23","X78","English monolingual"
"27","22","X90","English monolingual"
"28","27","X96","English monolingual"
"29","22","X123","English monolingual"
"30","22","X125","English monolingual"
"31","29","X133","English monolingual"
"32","21","X135","English monolingual"
"33","23","X151","English monolingual"
"34","15","X152","English monolingual"
"35","17","X503","English monolingual"
"36","32","X504","English monolingual"
"37","23","X505","English monolingual"
"38","26","X506","English monolingual"
"39","29","X507","English monolingual"
"40","26","X508","English monolingual"
"41","24","X509","English monolingual"
"42","28","X512","English monolingual"
"43","19","X515","English monolingual"
"44","28","X517","English monolingual"
"45","27","X518","English monolingual"
"46","21","X520","English monolingual"
"47","25","X526","English monolingual"
"48","30","X26","East Asian"
"49","26","X27","East Asian"
"50","20","X32","East Asian"
"51","27","X4","East Asian"
"52","26","X6","East Asian"
"53","26","X111","East Asian"
"54","26","X129","East Asian"
"55","29","X148","East Asian"
"56","18","X155","East Asian"
"57","27","X159","East Asian"
"58","12","X161","East Asian"
"59","27","X162","East Asian"
"60","20","X169","East Asian"
"61","31","X502","East Asian"
"62","23","X516","East Asian"
"63","27","X668","East Asian"
"64","28","X671","East Asian"
"65","28","X676","East Asian"
"66","27","X677","East Asian"
"67","21","X678","East Asian"
"68","20","X679","East Asian"
"69","29","X680","East Asian"
"70","21","X681","East Asian"
"71","26","X682","East Asian"
"72","30","X7","South Asian"
"73","27","X30","South Asian"
"74","21","X34","South Asian"
"75","27","X53","South Asian"
"76","28","X87","South Asian"
"77","16","X156","South Asian"
"78","30","X164","South Asian"
"79","30","X510","South Asian"
"80","22","X513","South Asian"
"81","30","X514","South Asian"
"82","25","X525","South Asian"
"83","24","X623","South Asian"
"84","28","X627","South Asian"
"85","31","X628","South Asian"
"86","28","X631","South Asian"
"87","13","X633","South Asian"
"88","29","X634","South Asian"
"89","14","X635","South Asian"
"90","21","X636","South Asian"
"91","27","X637","South Asian"
"92","31","X641","South Asian"
"93","26","X37","South-east Asian"
"94","20","X528","South-east Asian"
"95","35","X643","South-east Asian"
"96","20","X646","South-east Asian"
"97","25","X647","South-east Asian"
"98","31","X651","South-east Asian"
"99","24","X652","South-east Asian"
"100","22","X657","South-east Asian"
"101","25","X662","South-east Asian"
"102","18","X664","South-east Asian"
"103","18","X665","South-east Asian"
"104","24","X667","South-east Asian"
"105","19","X683","South-east Asian"
"106","29","X684","South-east Asian"
"107","30","X685","South-east Asian"
"108","31","X686","South-east Asian"
"109","31","X687","South-east Asian"
"110","27","X689","South-east Asian"
"111","24","X690","South-east Asian"
"112","26","X691","South-east Asian"
"113","29","X692","South-east Asian"
"114","25","X693","South-east Asian"
"115","28","X694","South-east Asian"
"116","34","X695","South-east Asian"
"117","16","X697","South-east Asian"
"118","33","X1","non_multi"
"119","33","X12","non_multi"
"120","27","X18","non_multi"
"121","19","X2","non_multi"
"122","28","X23","non_multi"
"123","21","X38","non_multi"
"124","29","X45","non_multi"
"125","34","X50","non_multi"
"126","26","X91","non_multi"
"127","20","X115","non_multi"
"128","21","X121","non_multi"
"129","25","X132","non_multi"
"130","28","X157","non_multi"
"131","31","X158","non_multi"
"132","29","X163","non_multi"
"133","26","X165","non_multi"
"134","31","X167","non_multi"
"135","13","X501","non_multi"
"136","31","X519","non_multi"
"137","25","X521","non_multi"
"138","30","X522","non_multi"
"139","25","X601","non_multi"
"140","28","X605","non_multi"
"141","23","X608","non_multi"
"142","30","X611","non_multi"
"143","31","X612","non_multi"
"144","33","X613","non_multi"
"145","27","X614","non_multi"
"146","27","X615","non_multi"
"147","30","X616","non_multi"
"148","32","X618","non_multi"
"149","27","X619","non_multi"
"150","36","X620","non_multi"
"151","30","X621","non_multi"
"152","33","X622","non_multi"
"153","29","X698","non_multi"
"154","27","X700","non_multi"
"155","29","X701","non_multi"
"156","30","X702","non_multi"
"157","29","X704","non_multi"
"158","29","X707","non_multi"
"159","36","X708","non_multi"
"160","27","X710","non_multi"
"161","20","X711","non_multi"
"162","30","X714","non_multi"
"163","30","X715","non_multi"
"164","31","X716","non_multi"
